step,return,dt_ratio,trajectory,std_return,cont_cunt
3050,191.9439552851265,"[1, 0, 2, 4, 1, 4, 1, 1, 5, 5, 3, 7, 4, 3, 2, 6, 5, 5, 3, 4, 2, 7, 6, 8, 9, 15, 8, 19, 22, 58]",0,75.12943580143313,44.0
3100,180.76034809582646,"[4, 1, 2, 0, 0, 4, 2, 3, 1, 4, 6, 2, 5, 4, 5, 6, 10, 4, 4, 6, 5, 7, 2, 6, 5, 6, 15, 12, 28, 61]",0,48.111971063015716,44.0
3150,178.07573273745703,"[6, 2, 2, 6, 6, 8, 2, 2, 6, 4, 0, 4, 4, 8, 2, 4, 2, 3, 6, 6, 4, 4, 4, 9, 5, 7, 13, 14, 36, 53]",0,75.46524868508818,46.39999999999999
3200,185.64534740127618,"[1, 4, 4, 2, 4, 5, 5, 3, 5, 3, 2, 1, 5, 3, 4, 3, 4, 1, 6, 2, 7, 7, 8, 4, 4, 8, 15, 10, 22, 72]",0,68.43145855927726,44.8
3250,129.90703684100941,"[6, 7, 2, 5, 7, 5, 6, 4, 4, 6, 4, 6, 6, 7, 6, 1, 3, 5, 7, 7, 6, 8, 3, 9, 5, 6, 8, 12, 14, 71]",0,47.241745069457785,49.2
3300,139.6491007870731,"[6, 5, 2, 1, 0, 6, 7, 11, 2, 6, 6, 6, 6, 5, 6, 3, 1, 11, 9, 6, 7, 3, 7, 7, 6, 6, 7, 7, 22, 66]",0,50.032150147107195,48.6
3350,146.86221597591594,"[6, 2, 1, 8, 2, 5, 9, 4, 7, 5, 8, 6, 6, 8, 5, 7, 4, 3, 8, 1, 5, 9, 5, 6, 3, 7, 10, 5, 33, 58]",0,56.95245104844201,49.2
3400,268.82183861617415,"[0, 1, 0, 0, 1, 0, 0, 0, 2, 1, 0, 1, 2, 0, 0, 2, 3, 2, 3, 2, 1, 3, 4, 3, 1, 4, 7, 9, 25, 108]",0,51.70406718727518,37.0
3450,292.68073304960427,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 1, 0, 1, 3, 5, 2, 2, 1, 1, 5, 29, 122]",0,36.529214767204586,35.2
3500,283.8624438716082,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 4, 1, 23, 139]",0,59.358008407876625,34.6
3550,240.05275711793513,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 3, 0, 1, 1, 8, 15, 142]",0,19.701154650492448,34.8
3600,224.371286416822,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 4, 15, 148]",0,21.716499096152678,34.0
3650,296.12165362614166,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 5, 23, 140]",0,59.0741241928996,34.0
3700,293.2469330697288,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 154]",0,50.85656330472917,34.0
3750,223.06114058129538,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 152]",0,57.769335347630836,34.0
