step,return,dt_ratio,std_return,cont_cunt
3050,395.6219549491542,"[8, 18, 10, 10, 8, 10, 8, 8, 16, 7, 11, 4, 10, 8, 8, 11, 19, 13, 17, 12, 8, 10, 7, 13, 11, 10, 11, 6, 10, 17]",63.3102589145,63.800000000000004
3100,414.73658481994966,"[10, 10, 10, 10, 16, 9, 12, 14, 12, 7, 13, 13, 11, 15, 11, 11, 13, 14, 9, 11, 7, 15, 9, 8, 12, 18, 8, 9, 7, 10]",89.7114520873273,66.8
3150,362.7727198343654,"[15, 10, 14, 13, 9, 16, 7, 11, 12, 10, 9, 16, 9, 14, 7, 7, 7, 16, 13, 8, 9, 8, 7, 9, 9, 13, 17, 14, 14, 9]",79.55343658674973,66.4
3200,397.2042898614487,"[12, 10, 5, 9, 12, 16, 11, 9, 8, 9, 11, 8, 7, 11, 12, 9, 14, 4, 16, 11, 6, 11, 10, 9, 13, 19, 10, 7, 16, 11]",60.49699190109074,63.199999999999996
3250,419.96083675632326,"[9, 13, 7, 15, 3, 14, 9, 10, 10, 13, 5, 14, 8, 12, 14, 11, 13, 12, 12, 12, 11, 7, 14, 6, 14, 9, 12, 6, 10, 15]",63.437545708826974,64.0
3300,420.94754457927917,"[17, 8, 11, 19, 9, 9, 12, 13, 16, 8, 14, 18, 18, 12, 12, 9, 9, 8, 14, 14, 7, 10, 8, 13, 6, 9, 13, 10, 11, 9]",58.85464183745423,69.2
3350,376.96189238813383,"[11, 15, 13, 10, 12, 9, 11, 10, 10, 12, 15, 10, 11, 12, 14, 9, 18, 10, 13, 11, 13, 11, 10, 10, 10, 8, 6, 11, 14, 8]",107.48627437600587,67.4
3400,356.5047676989046,"[9, 2, 11, 20, 13, 14, 12, 8, 13, 7, 4, 9, 11, 13, 10, 16, 9, 10, 9, 15, 9, 7, 8, 17, 11, 16, 15, 10, 4, 11]",76.76682008368847,64.6
3450,409.23266449300473,"[5, 9, 8, 12, 8, 11, 11, 17, 9, 12, 13, 15, 8, 3, 12, 7, 8, 12, 16, 10, 7, 13, 15, 11, 10, 10, 17, 9, 8, 9]",57.968604007807926,63.0
3500,391.7456337656496,"[16, 16, 8, 12, 12, 7, 13, 13, 9, 14, 13, 7, 16, 15, 13, 10, 10, 18, 12, 11, 6, 12, 12, 12, 9, 12, 7, 7, 6, 14]",25.983065974119153,68.4
3550,350.80273511937753,"[7, 14, 15, 9, 17, 11, 10, 11, 17, 13, 11, 12, 11, 7, 7, 13, 9, 7, 14, 7, 8, 7, 9, 11, 5, 15, 15, 15, 6, 19]",41.90966664916362,66.4
3600,347.903404655932,"[12, 12, 9, 11, 11, 13, 6, 12, 11, 11, 10, 8, 11, 7, 11, 10, 7, 16, 8, 14, 5, 18, 9, 7, 10, 10, 11, 15, 11, 15]",47.732677769408234,64.2
3650,338.4722391192778,"[12, 12, 14, 16, 11, 11, 16, 10, 8, 9, 12, 12, 12, 12, 13, 11, 7, 8, 8, 15, 9, 9, 12, 8, 11, 7, 16, 15, 11, 9]",40.131819149507145,67.2
3700,324.3941178785631,"[6, 3, 13, 18, 22, 8, 18, 11, 10, 8, 9, 8, 10, 8, 11, 15, 5, 7, 12, 13, 10, 9, 11, 12, 17, 6, 11, 15, 11, 10]",39.01835953213917,65.39999999999999
3750,348.142382835063,"[12, 15, 7, 8, 11, 8, 12, 12, 23, 14, 6, 5, 10, 6, 19, 11, 17, 16, 13, 10, 8, 10, 9, 11, 7, 8, 10, 12, 14, 9]",44.61366218473969,66.60000000000001
3800,312.59549928020925,"[14, 11, 16, 8, 12, 6, 14, 13, 9, 18, 9, 11, 11, 20, 14, 8, 12, 9, 4, 10, 13, 3, 6, 6, 11, 11, 13, 14, 15, 11]",56.72388129300962,66.4
3850,318.06870534944414,"[12, 6, 13, 16, 13, 14, 8, 9, 7, 12, 17, 6, 12, 5, 7, 6, 4, 8, 12, 13, 13, 16, 7, 13, 9, 14, 10, 13, 7, 18]",38.860948300912035,64.0
3900,332.0233678644285,"[3, 13, 7, 19, 9, 9, 8, 12, 13, 12, 8, 10, 15, 12, 17, 11, 13, 9, 17, 6, 9, 8, 12, 12, 14, 11, 8, 14, 11, 4]",26.859878609993626,65.2
3950,309.1165531563592,"[9, 10, 13, 8, 16, 15, 9, 11, 10, 14, 9, 10, 10, 12, 16, 8, 13, 10, 11, 10, 11, 12, 12, 16, 5, 11, 9, 12, 5, 14]",15.815016356388185,66.2
4000,299.2337576059303,"[13, 6, 6, 14, 11, 11, 8, 9, 15, 12, 12, 8, 15, 17, 14, 8, 8, 11, 11, 12, 5, 13, 6, 11, 13, 17, 12, 8, 13, 7]",29.71191991797935,65.2
4050,315.6553864847725,"[12, 9, 14, 8, 5, 10, 7, 16, 7, 10, 12, 10, 11, 14, 10, 10, 14, 22, 12, 16, 8, 12, 9, 10, 11, 8, 10, 6, 13, 8]",40.14296217229387,64.8
4100,299.73798715233977,"[19, 13, 15, 8, 10, 11, 12, 17, 9, 10, 8, 11, 11, 12, 5, 9, 15, 11, 6, 10, 11, 13, 7, 9, 14, 15, 10, 17, 13, 6]",49.50122707113542,67.4
